,callsign,icao24,last_position,filter,count
40460,WJA2060,c071a4,2022-01-13 17:25:52.921999872+00:00,False,0
40461,WJA2060,c071a4,2022-01-13 17:25:53.957999872+00:00,False,0
40462,WJA2060,c071a4,2022-01-13 17:25:54.991000064+00:00,False,0
40463,WJA2060,c071a4,2022-01-13 17:25:55.927000064+00:00,False,0
40464,WJA2060,c071a4,2022-01-13 17:25:56.424000+00:00,False,0
40465,WJA2060,c071a4,2022-01-13 17:25:57.897000192+00:00,False,0
40466,WJA2060,c071a4,2022-01-13 17:25:58.948000+00:00,False,0
40467,WJA2060,c071a4,2022-01-13 17:25:59.808000+00:00,False,0
40468,WJA2060,c071a4,2022-01-13 17:26:00.989000192+00:00,False,0
40469,WJA2060,c071a4,2022-01-13 17:26:01.430000128+00:00,False,0
40470,WJA2060,c071a4,2022-01-13 17:26:02.989000192+00:00,False,0
40471,WJA2060,c071a4,2022-01-13 17:26:03.943000064+00:00,False,0
40472,WJA2060,c071a4,2022-01-13 17:26:04.378000128+00:00,False,0
40473,WJA2060,c071a4,2022-01-13 17:26:05.920999936+00:00,False,0
40474,WJA2060,c071a4,2022-01-13 17:26:06.910000128+00:00,False,0
40475,WJA2060,c071a4,2022-01-13 17:26:07.779000064+00:00,False,0
40476,WJA2060,c071a4,2022-01-13 17:26:08.411000064+00:00,False,0
40477,WJA2060,c071a4,2022-01-13 17:26:09.578000128+00:00,False,0
40478,WJA2060,c071a4,2022-01-13 17:26:10.520000+00:00,False,0
40479,WJA2060,c071a4,2022-01-13 17:26:11.982000128+00:00,False,0
40480,WJA2060,c071a4,2022-01-13 17:26:12.796000+00:00,False,0
40481,WJA2060,c071a4,2022-01-13 17:26:13.620000+00:00,False,0
40482,WJA2060,c071a4,2022-01-13 17:26:14.616000+00:00,False,0
40483,WJA2060,c071a4,2022-01-13 17:26:15.667000064+00:00,False,0
40484,WJA2060,c071a4,2022-01-13 17:26:16.848999936+00:00,False,0
40485,WJA2060,c071a4,2022-01-13 17:26:17.749000192+00:00,False,0
40486,WJA2060,c071a4,2022-01-13 17:26:18.736999936+00:00,False,0
40487,WJA2060,c071a4,2022-01-13 17:26:19.808999936+00:00,False,0
40488,WJA2060,c071a4,2022-01-13 17:26:20.536000+00:00,False,0
40489,WJA2060,c071a4,2022-01-13 17:26:21.720000+00:00,False,0
40490,WJA2060,c071a4,2022-01-13 17:26:22.621999872+00:00,False,0
40491,WJA2060,c071a4,2022-01-13 17:26:23.696000+00:00,False,0
40492,WJA2060,c071a4,2022-01-13 17:26:24.608999936+00:00,False,0
40493,WJA2060,c071a4,2022-01-13 17:26:25.616000+00:00,False,0
40494,WJA2060,c071a4,2022-01-13 17:26:26.395000064+00:00,False,0
40495,WJA2060,c071a4,2022-01-13 17:26:27.430000128+00:00,False,0
40496,WJA2060,c071a4,2022-01-13 17:26:28.984999936+00:00,False,0
40497,WJA2060,c071a4,2022-01-13 17:26:29.561000192+00:00,False,0
40498,WJA2060,c071a4,2022-01-13 17:26:30.898999808+00:00,False,0
40499,WJA2060,c071a4,2022-01-13 17:26:31.917999872+00:00,False,0
40500,WJA2060,c071a4,2022-01-13 17:26:32.782000128+00:00,False,0
40501,WJA2060,c071a4,2022-01-13 17:26:33.384000+00:00,False,0
40502,WJA2060,c071a4,2022-01-13 17:26:34.892999936+00:00,False,0
40503,WJA2060,c071a4,2022-01-13 17:26:35.489000192+00:00,False,0
40504,WJA2060,c071a4,2022-01-13 17:26:36.553999872+00:00,False,0
40505,WJA2060,c0817c,2022-01-14 17:40:22.724000+00:00,False,0
40506,WJA2060,c0817c,2022-01-14 17:40:23.976999936+00:00,False,0
40507,WJA2060,c0817c,2022-01-14 17:40:24.915000064+00:00,False,0
40508,WJA2060,c0817c,2022-01-14 17:40:25.818000128+00:00,False,0
40509,WJA2060,c0817c,2022-01-14 17:40:26.881999872+00:00,False,0
40510,WJA2060,c0817c,2022-01-14 17:40:27.588000+00:00,False,0
40511,WJA2060,c0817c,2022-01-14 17:40:28.912000+00:00,False,0
40512,WJA2060,c0817c,2022-01-14 17:40:29.795000064+00:00,False,0
40513,WJA2060,c0817c,2022-01-14 17:40:30.831000064+00:00,False,0
40514,WJA2060,c0817c,2022-01-14 17:40:31.892999936+00:00,False,0
40515,WJA2060,c0817c,2022-01-14 17:40:32.652000+00:00,False,0
40516,WJA2060,c0817c,2022-01-14 17:40:33.632000+00:00,False,0
40517,WJA2060,c0817c,2022-01-14 17:40:34.568000+00:00,False,0
40518,WJA2060,c0817c,2022-01-14 17:40:35.749000192+00:00,False,0
40519,WJA2060,c0817c,2022-01-14 17:40:36.753999872+00:00,False,0
40520,WJA2060,c0817c,2022-01-14 17:40:37.652000+00:00,False,0
40521,WJA2060,c0817c,2022-01-14 17:40:38.591000064+00:00,False,0
40522,WJA2060,c0817c,2022-01-14 17:40:39.622999808+00:00,False,0
